Name,Category,Type,Address,Cost Range,Tips,Website
Época Porto,Breakfast,Cafe,"Rua do Rosário 22, 4050-522 Porto",Moderate,"Nordic-organic sourdough plates. Arrive 08:15 to beat the queue.",http://epocaporto.com/
Hakko,Breakfast,Cafe,"Rua do Rosário 313, Porto",Moderate,"Croissants + Turkish eggs. Copenhagen-style specialty coffee.",https://www.instagram.com/hakko_house_/
São Bento Station,Sight,Landmark,"Praça Almeida Garrett, 4000-150 Porto",Free,"20,000+ azulejo panels depicting Portuguese history.",N/A
Porto Cathedral (Sé),Sight,Cathedral,"Terreiro da Sé, 4050-150 Porto","3 EUR (nave free)","12th-century fortress church. Cloister azulejos and miradouro out back.",N/A
Café Santiago,Lunch,Francesinha,"Rua Passos Manuel 226, 4000-382 Porto","9.50-12 EUR","Most iconic francesinha in Porto. Arrive before noon to skip the line.",https://cafesantiago.pt/en/
Capela das Almas,Sight,Church,"Rua de Santa Catarina, Porto",Free,"Facade covered in 15,947 blue-and-white azulejo tiles.",N/A
Palácio da Bolsa,Skipped,Palace,"Rua Ferreira Borges, 4050-182 Porto","14 EUR/adult, under 12 free","SWAPPED OUT for MMIPO - guided tour only, 45-60 min on someone else's schedule, 56 EUR for four. Salao Arabe took 18 years to complete. Still 3 min away if you change your mind - Tue-Sun 09:00-18:30, last entry ~17:00.",https://www.palaciodabolsa.pt
Centro Português de Fotografia,Sight,Museum,"Centro Português de Fotografia, Porto",Free,"Former prison building; spy-camera collection, good for kids.",N/A
Café da Porta do Olival,Snack,Cafe,"Rua do Olival, Porto","~2 EUR coffee","1853 cafe hiding a stretch of the 14th-century Fernandina wall.",N/A
Jardim das Virtudes,Sight,Garden,"Jardim das Virtudes, Porto",Free,"Terraced picnic gardens on the Douro hillside. Locals bring wine and blankets.",N/A
Passeio das Virtudes,Viewpoint,Viewpoint,"Passeio das Virtudes, Porto",Free,"Faces west - Porto's best hidden sunset spot before the cruise.",N/A
Porto 6 Bridges Sunset Cruise,Activity,Boat Tour,"Cais da Ribeira, Porto","35-45 EUR/person","18:45 departure timed for sunset. Book online in advance.",https://www.getyourguide.com/porto-l151/porto-6-bridges-cruise-port-wine-with-sunset-option-t477703
MUU,Dinner,Restaurant,"Porto city centre","25-35 EUR/person","Contemporary Portuguese, dry-aged beef. Book 1-2 weeks ahead.",N/A
Avenida dos Aliados,Sight,Street,"Avenida dos Aliados, Porto",Free,"City hall and the grand boulevard, lit up at night.",N/A
Picha Café,Bar,Cocktail Bar,"Rua da Conceição, Porto","5-8 EUR","Young locals' bar, solid cocktails.",N/A
Igreja de Santa Clara,Sight,Church,"Largo 1º de Dezembro, 4050-383 Porto","4 EUR, free under 10","BEST ADDITION to the three Porto days. 5 min from the Se, tucked against the medieval Fernandina wall. Plain Gothic shell from the 1400s hiding one of the largest surviving expanses of Portuguese talha dourada - walls, ceiling and columns entirely sheathed in gilded oak. Reopened after a long restoration and far quieter than Sao Francisco. Daily 09:00-13:00 and 14:00-18:00. NO visits during Mass.",N/A
Igreja e Museu da Misericórdia (MMIPO),Sight,Church + Museum,"Rua das Flores 5, 4050-265 Porto","~5 EUR full, reduced for students and 65+, free under 7 - verify","REPLACES Palacio da Bolsa at 14:45. Zero detour - you already walk down Rua das Flores at 14:30. Ticket covers both museum and church. Centrepiece is Fons Vitae c.1520, a Flemish panel showing Dom Manuel I and family kneeling at the crucified Christ. Also Portugal largest portrait collection, ~500 works. Verify prices at mmipo.pt.",https://www.mmipo.pt/
Igreja dos Congregados,Walk-by,Church,"Praça de Almeida Garrett, 4000-069 Porto",Free,"WALK-BY 1 min - directly across from Sao Bento station. Azulejo facade by Jorge Colaco, same artist as the Sao Bento panels and Santo Ildefonso. Exterior is the point.",N/A
Igreja dos Grilos (São Lourenço),Walk-by,Church,"Largo do Colégio 3, 4050-208 Porto","MASA museum - price and hours unconfirmed","WALK-BY 2 min - immediately below the Se terrace. Jesuit, built 1577-1622, Mannerist facade carrying the Tavora arms, founder buried inside. Houses the MASA sacred-art and archaeology museum but hours/price could not be confirmed - treat the interior as a bonus and the facade as the visit.",N/A
Igreja de Santo Ildefonso,Walk-by,Church,"Praça da Batalha 1, 4000-102 Porto","Free outside, ~1 EUR inside","WALK-BY - Rua de Santa Catarina ends right at it. 1739 proto-Baroque church fronted with ~11,000 azulejos laid in 1932 by Jorge Colaco, scenes from the life of St Ildefonsus in deep cobalt. Third Colaco facade of the day. Interior is plain by comparison - the tiles are the reason.",N/A
Mosteiro de São Bento da Vitória,Walk-by,Monastery,"Rua de São Bento da Vitória 45, 4050-543 Porto",Free outside,"WALK-BY on the 17:45 Miragaia route. Vast 17th-century Benedictine monastery built on the medieval Jewish quarter. NOT a walk-in church any more - belongs to Teatro Nacional Sao Joao, interior opens for performances and scheduled tours only. Walk the facade then carry on 2 min to the Miradouro da Vitoria beside it.",N/A
